level,age,gender,marital_status,faculty,department,skill,preparation_before,preparation_after,quality_before,quality_after,confidence_before,confidence_after,cgpa_before,cgpa_after,employment,quit_job,cgpa_change
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.072741120822939,3.3289514180638093,Yes,No,-0.7437897027591296
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.467100788555457,3.39947007030807,No,No,-0.06763071824738676
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.4418034143154963,4.032838055940078,No,No,0.591034641624582
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.4682570316655617,3.402156708993453,Yes,Yes,-0.06610032267210864
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.8226785668596386,3.742275247366733,Yes,Yes,-0.08040331949290547
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.0322687798097405,3.6538306500507627,No,,-0.37843812975897784
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.605980961185576,3.687656987177661,No,,0.08167602599208479
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.336438047193765,3.5858816457364013,Yes,No,-0.7505564014573634
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.623770262664639,3.5456373211274053,Yes,No,-0.0781329415372336
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9034220549520264,3.519268029659834,No,No,-0.38415402529219245
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.762347690688049,3.5472935314953458,No,No,-0.21505415919270332
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.517542735219329,3.4876277118744303,Yes,No,-0.029915023344898817
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.705662711058926,3.7747532539018787,No,No,0.06909054284295246
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.7797895803208523,3.877786929143658,No,No,0.09799734882280564
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.4243783798248164,3.7677502888098693,Yes,No,0.3433719089850529
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.7825918453602667,3.2868622168649018,No,No,-0.49572962849536495
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.5309266502682575,4.234794952921446,No,No,0.7038683026531882
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.075238051141423,3.9390190891757237,Yes,Yes,-0.1362189619656995
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.4977151977414964,3.6408486718346924,Yes,Yes,0.143133474093196
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.4915573695407205,3.5999210321183663,No,,0.10836366257764585
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.5465267885255773,3.828212882390552,No,,0.28168609386497456
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9117300374361594,4.071317065001728,Yes,No,0.15958702756556864
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.173647902443547,3.2701795612384927,Yes,No,-0.9034683412050546
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.473760046931822,3.8377216006299077,No,No,0.3639615536980858
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.987765840989458,3.99737223747119,No,No,0.009606396481732116
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.018587965830747,3.0166991704102095,Yes,No,-1.0018887954205375
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.7115711424413718,3.538768889675935,No,No,-0.17280225276543693
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.003805126552404,3.137268292746321,No,No,-0.8665368338060828
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.9751933818116725,2.67229459617805,Yes,No,-1.3028987856336225
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.6752131014198457,3.799841219620941,No,No,0.1246281182010951
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.2523612494772385,2.9984275480474785,No,No,-0.25393370142976
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.8450548666123576,3.3616710874463003,Yes,Yes,-0.48338377916605735
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.7045687841197092,4.383676348132735,Yes,Yes,0.6791075640130262
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.8583406443027286,3.780223420761429,No,,-0.07811722354129946
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.9688368450368126,3.357544672654427,No,,-0.6112921723823854
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.382099839407019,3.7803310039728055,Yes,No,-0.6017688354342132
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.7335058502372065,3.386846319751558,Yes,No,-0.34665953048564857
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.104561925094237,4.097380101615717,No,No,-0.007181823478520144
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.8972851112730322,3.527713331606303,No,No,-0.36957177966672905
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.6892332589116275,3.764983347054635,Yes,No,0.07575008814300777
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.5703068689619513,4.101005802447707,No,No,0.5306989334857559
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.450008605493022,3.875419717841825,No,No,0.42541111234880313
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.273764322447369,3.379619243630138,Yes,No,0.10585492118276907
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.954660178776847,3.9106318596847247,No,No,-0.04402831909212246
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.9850527113763388,4.22223504238383,No,No,0.23718233100749142
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.622369402907746,3.442498366130972,Yes,Yes,-0.17987103677677396
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.061094059921077,3.3139944461315785,Yes,Yes,-0.7470996137894983
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.869951973868783,3.7843819311369837,No,,-0.08557004273179913
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.823115568361789,3.8056671937210518,No,,-0.017448374640737008
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.608197904722048,3.0848772019339163,Yes,No,-0.5233207027881317
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.640350426631305,3.097341137306411,Yes,No,-0.5430092893248943
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.040557613629056,4.149381490220931,No,No,0.10882387659187565
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9707314893309644,3.9746275115643477,No,No,0.003896022233383256
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.783448556980851,3.8600279279811995,Yes,No,0.0765793710003484
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.091323932679949,3.6390487815583605,No,No,-0.4522751511215888
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9749583931009087,3.406753587645494,No,No,-0.5682048054554145
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.490608628629835,4.152015425108977,Yes,No,0.6614067964791421
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,4.247047683857118,3.350871787290042,No,No,-0.8961758965670756
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.832662668774454,3.6865331819655665,No,No,-0.1461294868088876
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.422154298143784,4.588388356434221,Yes,Yes,0.1662340582904367
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.6410809861733675,3.9203449794221874,Yes,Yes,0.2792639932488199
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.2790748200137876,3.3270804186911853,No,,0.04800559867739773
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.043138074806646,3.688733254537003,No,,-0.35440482026964304
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.3566893782800555,4.160379583789203,Yes,No,-0.19630979449085295
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.803906800844149,3.9559727753898386,Yes,No,0.15206597454568982
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9291827535465687,3.765660903626441,No,No,-0.16352184992012786
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.47039767504453,4.182020419338919,No,No,-0.288377255705611
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.159126335606183,3.1670275597603554,Yes,No,-0.992098775845828
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.088481432287918,3.4541547164552884,No,No,-0.6343267158326298
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.7461644121384734,3.6656809119759632,No,No,-0.08048350016251016
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.697428921359842,3.5829351227425548,Yes,No,-0.11449379861728737
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.5230055583532045,4.174804451772422,No,No,0.6517988934192176
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.588222937044306,3.5344466019908998,No,No,-0.0537763350534064
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.851400133403148,4.385527401059411,Yes,Yes,0.5341272676562632
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.021225052519125,3.0442854720733226,Yes,Yes,-0.9769395804458028
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.401801461875065,3.1835169861785104,No,,-1.2182844756965547
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.311321612775462,3.480207646833132,No,,-0.8311139659423299
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.9614201625238503,3.7989745754641637,Yes,No,-0.1624455870596866
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9421737471951452,3.797148742193602,Yes,No,-0.14502500500154314
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.013394460675888,3.7132161283995955,No,No,-0.3001783322762921
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.855467289731023,4.14310204413803,No,No,0.2876347544070068
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.32196596324386,2.9952961623892613,Yes,No,-1.326669800854599
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.7082840027304624,3.1440837695785087,No,No,-0.5642002331519538
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.8054137101882985,3.8294257563961667,No,No,0.02401204620786812
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.4918913794932713,3.8016211102597857,Yes,No,0.30972973076651433
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.5089968961566407,4.077314091664073,No,No,0.5683171955074324
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.004418939474227,3.4645723856593746,No,No,-0.539846553814852
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.164616431874082,3.6075285956594945,Yes,Yes,-0.5570878362145875
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.136937003779256,3.5284708987841085,Yes,Yes,-0.6084661049951472
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.1494705287968525,3.882151132089836,No,,-0.26731939670701665
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.6240349003909538,3.137607992108904,No,,-0.4864269082820498
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.397914821944524,3.521624896545199,Yes,No,-0.876289925399325
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.037190343943027,4.198482420813401,Yes,No,0.1612920768703745
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.7936879873978193,3.7938063482538786,No,No,0.00011836085605931856
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.891130801896174,4.13003093442274,No,No,0.23890013252656583
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.6537631175388694,3.3669556566604015,Yes,No,-0.28680746087846787
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.685781137781527,3.3518557801076874,No,No,-0.3339253576738397
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.9600230359081388,3.587830060197646,No,No,-0.3721929757104929
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,3.7824159909749966,3.4502194075354238,Yes,No,-0.3321965834395728
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.9381278393960226,3.8964683403942706,No,No,-0.04165949900175203
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.9414502407644156,3.404087801475012,No,No,-0.5373624392894034
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.4488751750763926,3.6225787511577745,Yes,Yes,0.17370357608138187
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.243974205398214,3.282161801479227,Yes,Yes,-0.9618124039189868
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.453382715061307,4.226750395180402,No,,-0.22663231988090438
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.698303837253025,3.730264691612863,No,,0.0319608543598382
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.018071000205951,3.235596132365399,Yes,No,-0.782474867840552
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.161648736246692,4.1187800547042865,Yes,No,-0.042868681542405085
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.8959464378573894,3.7721464510557854,No,No,-0.12379998680160398
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.9485066222262275,3.203367994243587,No,No,-0.7451386279826404
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.704607320308369,3.6730384053961913,Yes,No,-0.031568914912177615
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.7607498152460925,4.087147213304665,No,No,0.3263973980585728
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.969627881649147,3.3406810371033187,No,No,-0.6289468445458284
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.244518014420546,3.8747465731377653,Yes,No,-0.3697714412827806
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.9348376653597517,4.3689079403083095,No,No,0.4340702749485579
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,4.169849202735604,3.8493455262110783,No,No,-0.32050367652452616
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.9802148072281223,4.048065476371028,Yes,Yes,0.06785066914290594
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.860503582291907,3.5867132533639454,Yes,Yes,-0.27379032892796173
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.122903309156474,4.014623597961677,No,,-0.10827971119479685
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,4.038278635411295,3.407943672489411,No,,-0.630334962921884
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.219009321383101,3.742183778278826,Yes,No,-0.47682554310427516
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,4.311874218345223,3.3291420138060848,Yes,No,-0.9827322045391385
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,4.0343626591318325,3.4103848626621414,No,No,-0.6239777964696911
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.036363182446546,3.6073870653932576,No,No,-0.428976117053288
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.180380494437337,3.6961444091855826,Yes,No,-0.4842360852517542
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.7797187921887203,3.928102773297842,No,No,0.14838398110912188
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.8371416088492327,4.303217898307886,No,No,0.4660762894586532
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.146116688590743,3.6998646798103527,Yes,No,-0.44625200878039006
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.5866153287959532,4.422983748755408,No,No,0.836368419959455
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.438408335253604,3.4593189535217075,No,No,0.020910618268103587
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.6485860689636995,4.130794145388537,Yes,Yes,0.4822080764248371
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.066174405827297,3.5103731606192854,Yes,Yes,-0.5558012452080119
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.965802788822562,3.5501680489138514,No,,-0.4156347399087106
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.8711201427570634,3.9504164590121644,No,,0.07929631625510103
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.88654501546458,3.336668676837188,Yes,No,-0.5498763386273922
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.621659543119853,3.422609585189328,Yes,No,-0.1990499579305247
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.885636369746256,4.118591869488509,No,No,0.23295549974225294
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,3.7143345808145085,3.732671171024596,No,No,0.0183365902100876
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4.149089890227991,3.1595891678821753,Yes,No,-0.9895007223458157
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,3.8867727689250007,3.59310896960143,No,No,-0.2936637993235709
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,4.076404880550433,3.9774641642158017,No,No,-0.09894071633463097
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.02038818555113,4.1202168422935985,Yes,No,0.09982865674246888
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.8607683239286095,3.1431215022514714,No,No,-0.7176468216771381
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.7770523444645234,4.080421721507583,No,No,0.30336937704305944
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.7293125021047597,4.049724346484802,Yes,Yes,0.32041184438004233
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,4.052843277460413,3.5872740801734033,Yes,Yes,-0.46556919728700974
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,4.062468068920507,3.6322902761798233,No,,-0.43017779274068335
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.630788926750247,3.3825743854236845,No,,-0.24821454132656262
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,3.7954352399496742,3.207759154587,Yes,No,-0.5876760853626743
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.965256579713453,3.7731677529224044,Yes,No,-0.19208882679104855
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.9045650900245517,3.1786466040306056,No,No,-0.725918485993946
400level,22–24,Male,Single,Science,Geophysics ,No,Poor,Neutral,Neutral,Poor,Neutral,Poor,4.149278589760612,3.753723583310401,No,No,-0.3955550064502109
200level,16–18,Female,Married,Engineering,Civil Engineering,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.934908474662524,3.8544025879610877,Yes,No,-0.08050588670143632
300level,25–27,Female,Single,Law,Law,No Skill,Neutral,Neutral,Neutral,Neutral,Neutral,Poor,4.25315262493464,3.8063171393606443,No,No,-0.44683548557399577
200level,22–24,Female,Single,Management Science,accounting ,Yes,Neutral,Poor,Poor,Poor,Neutral,Poor,3.7094405374392982,3.898295944528901,No,No,0.1888554070896027
300level,22–24,Male,Single,Education,Educational foundations ,No,Neutral,Good,Neutral,Neutral,Neutral,Neutral,4.034535747563297,4.554717793168979,Yes,No,0.520182045605682
300level,19–21,Male,Single,Science,Cell Biology and Genetics,Yes,Neutral,Good,Neutral,Neutral,Good,Good,3.8088633872424085,3.8275261643324674,No,No,0.018662777090058924
500level.,25–27,Female,Single,Science,Marine  science,No,Good,Neutral,Neutral,Neutral,Good,Good,3.6415727759285184,3.647600325940573,No,No,0.006027550012054572
200level,22–24,Female,Single,Education,Art and social sciences Education ,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.084829620724935,3.0728624586364406,Yes,Yes,-0.011967162088494465
400level,19–21,Male,Single,Engineering,Electrical and Electronics Engineering ,Yes,Poor,Good,Neutral,Neutral,Neutral,Neutral,3.7975240698754176,3.7921167417368786,Yes,Yes,-0.005407328138538947
200level,16–18,Female,Single,Education,Yoruba ,No,Poor,Neutral,Good,Good,Good,Poor,3.8900193637956604,3.736992129544196,No,,-0.15302723425146425
500level.,27+,Female,Married,Engineering,Met and mat,Yes,Good,Neutral,Good,Neutral,Neutral,Neutral,3.99313319155094,3.977018618511254,No,,-0.016114573039685887
400level,22–24,Female,Single,Management Science,Finance ,Yes,Neutral,Poor,Neutral,Poor,Good,Neutral,4.193879029539076,3.7166146814801566,Yes,No,-0.4772643480589194
300level,19–21,Male,Single,Science,Statistics ,Yes,Good,Good,Good,Good,Good,Good,3.9708979929253068,3.355001277878885,Yes,No,-0.6158967150464218
300level,25–27,Male,Single,Science,Botany ,Yes,Good,Neutral,Neutral,Poor,Good,Neutral,3.799262145582971,3.1395808936035077,No,No,-0.6596812519794635
