Timestamp,Are you a student of the University of Lagos?,"If not, what is your university/institution?",What is your current academic level?,How old are you?,What is your gender?,What was your relationship status during the strike?,What is your faculty?,What is your department?,"Kindly input your department, if not listed in the previous question. ",How has the ASUU strike affected you and your academic performance?,What was the most challenging part of returning to academic life after the strike?,Did you undertake any work during the strike?,How did you develop yourself during the strike?,How prepared were you for the exams? [Before Strike],How prepared were you for the exams? [After Strike],How were your lectures affected by the strike?,How often did you engage in academic activities during the strike?,How many courses did you take in the affected semester? ,How many credit units did your courses add up to in the affected semester?,What was your CGPA before the strike?,What was your CGPA after the strike?
06/04/2023 14:15:28,Yes,,300 Level,21,Male,Single,Sciences,Mathematics,,I got more involved in my studies and had more motivation ,Funds,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",7,17,2.55,2.88
06/04/2023 14:38:28,Yes,,300 Level,24,Female,Dating,Sciences,Zoology,,The strike made me almost give up on my career dreams but I was able to get myself together. My academic performance improved after the strike,Learning all over again ,Worked in a role unrelated to my studies,None of the above,Very,Very,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,6,16,4.56,4.63
06/04/2023 15:13:48,Yes,,200 Level,22,Female,Single,Education,Other,Early childhood education ,It didn’t affect it at all,Having to leave my job,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,12,24,0,4
06/04/2023 15:19:02,Yes,,200 Level,21,Male,Single,Sciences,Mathematics,,Not very well ,Having to start reading from not reading for a long time ,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,23,4.7,4.5
06/04/2023 15:35:35,Yes,,200 Level,20,Female,Single,Sciences,Cell Biology & Genetics,,Yes ,Trying to get into the syllabus,Worked in a role unrelated to my studies,Volunteered for an event or organization,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,23,0,2.9
06/04/2023 15:36:02,Yes,,200 Level,18,Female,Single,Sciences,Cell Biology & Genetics,,It made me feel too relaxed for one. I had to work at some point so I had no time for reading and it has made me spend 2 yrs in 200 lvl alone and even now nothing is certain about when we're ending ,"Reading, compréhension and understanding of what I had been taught. Prep for exam while still having class an other minor circular things that life as a student entails",Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,17,0,3.59
06/04/2023 15:38:59,Yes,,300 Level,29,Female,Married,Education,Science Tech. Education,,If affected me in a way that i will not be able to go for service,Leaving my 6 months old baby all alone,Worked in a role relevant to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,7,18,3.24,3.38
06/04/2023 15:39:04,Yes,,300 Level,25,Female,Single,Sciences,Cell Biology & Genetics,,Yes,Having to go back to remembering everything I’ve learnt was tough,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,22,2.9,3.3
06/04/2023 15:39:44,Yes,,300 Level,26,Female,Single,Education,Biology Education,,I lost interest in academics ,Reading and recall ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,18,3.5,3.8
06/04/2023 15:45:48,Yes,,300 Level,22,Female,Single,Sciences,Cell Biology & Genetics,,Did not affect,Leaving behind what I learned ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,16,4.01,4.1
06/04/2023 15:46:16,Yes,,400 Level,21,Female,Single,Sciences,Botany,,"It made me relax on my studies and when the strike was over, it was difficult to come back to read ",Getting ready for exam immediately we resume ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,12,4,4.12
06/04/2023 15:48:38,Yes,,200 Level,21,Female,Single,Sciences,Botany,,It has only further delayed my graduation,Accommodating myself to school life again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,19,3.29,3
06/04/2023 15:51:46,Yes,,400 Level,28,Male,Single,Engineering,Chemical Engineering,,"A a person in late 20s, I tend to engage more in businesses which in turn make learning more difficult as the major future responsibilities are staring in my eye. Also the thought that it is almost impossible to go for nysc due to 2yrs asuu strike in the last 5 years is heartbreaking. Will be very happy if the authorities can write to nysc to consider those that are not more than 32 so that not only the lecturers benefit from the strikes ",Nothing much. Just that constant breaks makes some people lose focus and that's true for those above 25 as they are more concerned abt what the future holds for them ,Worked in a role unrelated to my studies,None of the above,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.54,3.04
06/04/2023 15:55:58,Yes,,200 Level,21,Male,Single,Education,Educational Foundations,,Negatively ,Exams ,Did not work during the strike,None of the above,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,9,20,3.67,2.55
06/04/2023 16:02:01,Yes,,300 Level,20,Male,Single,Engineering,Chemical Engineering,,,,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,,4.47,4.44
06/04/2023 16:35:26,Yes,,300 Level,21,Female,Single,Law,Law,,I've lost total interest and certain school policies is only aiding my lack of interest in studying.,"Forcing myself mentally, emotionally and physically to go back to an environment I haven't been in almost a year despite the harsh conditions. ",Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,5,,0,0
06/04/2023 16:39:38,Yes,,100 Level,18,Female,Complicated,Sciences,Botany,,It really affected my enthusiasm to study ,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,21,0,4
06/04/2023 16:40:49,Yes,,200 Level,28,Male,Single,Education,Arts & Social Science Education,,I see work do ,To get the curriculum back together again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,,1.98,2.11
06/04/2023 16:58:02,Yes,,300 Level,23,Female,Dating,Education,Biology Education,,It really affected me to the point that my GPA dropped ,"The part of reading all over again, and it looks like I haven't even gone through the slides before the strike.",Worked in a role unrelated to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,7,,2.45,2.51
06/04/2023 17:01:46,Yes,,Postgraduate Diploma,26,Female,Dating,Education,Human Kinetics & Health Education,,It affected it negatively,"Having to cope with hostel life, learning to wake up early for classes. ",Did not work during the strike,None of the above,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,18,4.45,4.37
06/04/2023 17:09:56,No,"Alex Ekwueme Federal University Ndufu-Alike Ikwo, Abakaliki Ebonyi State ",300 Level,23,Female,Single,Basic Medical Sciences,Physiology,,"It made me slack,I don't know what I'm doing in school again.",Studying school books ,Did not work during the strike,Volunteered for an event or organization,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,21,2.95,0
06/04/2023 17:49:41,Yes,,100 Level,21,Female,Single,Education,Other,Education Eng,It brings about a kind of regression in me both physically and academically,It was strange to my body system,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",11,4,0,3.44
06/04/2023 19:18:34,Yes,,300 Level,21,Female,Single,Engineering,Chemical Engineering,,The strike made we lose interest in wanting to learn and gain more knowledge about my coure,"The most challenging part was the fact that not long after the strike ended we started exams and test, and I was very prepared. I had to do some overnight to pass",Did not work during the strike,Vocational training and artisanship,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.46,3.6
06/04/2023 20:17:11,No,University of ibadan,Masters Program,26,Female,Single,Basic Medical Sciences,Microbiology,,"Not really, it was just more difficult than earlier ",Going back to lecture room was quite difficult and harder ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,3,0,4.01
06/04/2023 20:38:49,Yes,,300 Level,24,Female,Dating,Education,Biology Education,,Negatively ,Trying to adjust myself again with school activities like studying and all.,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Very,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,1,4.1,4.28
06/04/2023 20:45:34,Yes,,300 Level,27,Female,Single,Education,Adult Education,,Release in studying ,Preparing to resume back to school ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",11,22,4,4.12
06/04/2023 21:35:42,Yes,,300 Level,21,Female,Single,Engineering,Systems Engineering,,I have even less zeal for school.,Balancing school work with my jobs.,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,20,4.19,4.22
06/04/2023 21:39:14,Yes,,100 Level,18,Female,Single,Engineering,Electrical & Electronics Engineering,,"My academics hasn't even had chance to perform
Since 2020 I still don't have GPA on the portal ","The pain that my mates have written a similar exam years ago
And read all this year's ago",Did not work during the strike,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,14,0,4.7
06/04/2023 21:48:08,Yes,,400 Level,24,Female,Single,Education,Other,Business Education ,Terribly ,Trying to get my mind back to school setting ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,6,20,3.6,3.8
06/04/2023 21:55:26,Yes,,300 Level,21,Female,Single,Engineering,Civil & Environmental Engineering,,I have lost interest in my academic journey. ,Trying to understand topics I had been taught before the strike in a short period of time. ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,21,4.64,4.13
06/04/2023 22:03:02,Yes,,300 Level,21,Male,Single,Engineering,Systems Engineering,,,,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,4.45,4.4
06/04/2023 22:06:52,No,Lagos state University,300 Level,22,Male,Single,Arts,Philosophy,,"No strike for Lasu, so basically work as usual",Peeps from other schools were running faster and entered 300l before me that wasn't on strike,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,23,2.45,3.1
07/04/2023 07:17:02,Yes,,100 Level,20,Male,Single,Engineering,Electrical & Electronics Engineering,,Wasted a lot of my time,Doing a crash course to pass exams and barely surviving,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,,2.9,2.9
07/04/2023 07:17:14,No,Funaab,400 Level,21,Male,Single,Sciences,Statistics,,Too bad,To start reading again is an issue on its own,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,0,2.9,3.8
07/04/2023 11:05:50,Yes,,300 Level,22,Female,Single,Education,Educational Foundations,,Result aspect ,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,3,,3,2
07/04/2023 13:05:59,Yes,,200 Level,23,Female,Single,Education,Arts & Social Science Education,,Very bad,Reading ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,10,3.63,3.5
07/04/2023 14:58:45,Yes,,300 Level,23,Male,Single,Basic Medical Sciences,Pharmaceutics & Pharmaceutical Technology,,"Yes, made it better! Enough time to get prepared",Writing physical exams again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Very,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",11,17,4.57,4.47
07/04/2023 15:52:43,No,University of Uyo ,400 Level,20,Male,Complicated,Engineering,Electrical & Electronics Engineering,,Not o badly ,Getting into tech then balancing it with school life ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,12,22,4.51,4.37
07/04/2023 19:40:10,Yes,,400 Level,21,Female,Single,Engineering,Chemical Engineering,,It made me almost give up on school ,Everything ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,11,,3.37,5
07/04/2023 20:44:00,Yes,,300 Level,21,Male,Single,Sciences,Mathematics,,It hampered my learning greatly ,I learnt things slower ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,19,2.5,2.1
07/04/2023 23:11:39,Yes,,200 Level,19,Female,Single,Sciences,Geosciences,,Badly,Learning how to read again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,20,4.2,3.6
08/04/2023 08:02:51,No,University of Abuja,400 Level,23,Female,Single,Arts,English,,"The ASSU strike affected me badly. I felt like precious time was flying away, and I couldn’t really concentrate on other aspects of my life because I knew one major aspect( my degree) was on hold. My result dropped drastically because the VC of my school rushed us into exams without proper preparation and also rushed lecturers in marking scripts that we weren’t even taught. 
There is a clear difference between my 200 level result( pre-pandemic) and my 400 level result(post pandemic and strike) ","Adjusting to reading academic materials. 
In my mind, I had already graduated from school, so it was really hard to sit down to read when I know I should have graduated from school in 2022",Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,30,3,2
08/04/2023 11:19:22,Yes,,200 Level,19,Female,Single,Sciences,Cell Biology & Genetics,,Slightly negatively ,Reading school books and focusing in class ,Did not work during the strike,None of the above,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,19,4.2,4.23
08/04/2023 15:22:07,Yes,,200 Level,19,Female,Single,Engineering,Systems Engineering,,,,Did not work during the strike,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,28,4,3.14
08/04/2023 15:44:30,Yes,,400 Level,22,Female,Single,Education,Arts & Social Science Education,,I just want to end all this..🥲,Having to return back to reading books and attending lectures ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,16,3.69,2.34
08/04/2023 15:48:22,Yes,,300 Level,22,Female,Single,Sciences,Mathematics,,"Before the last strike, I already started preparing for exams and I had covered almost all of my course outline, asides minority courses like gst, after I came back literally almost every knowledge was gone. So basically, the strike reduced my zeal to be get better grades. ",Going back to reading my books and attending classes after a long time of staying at home,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Poorly,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,23,3.26,3.19
08/04/2023 22:20:13,Yes,,200 Level,20,Female,Single,Engineering,Systems Engineering,,I keep losing the desire to remain in school. It's tiring having to constantly work to get back that studying momentum. The student in me is always at 0% during the strike.,Having to cover the syllabus in a limited time.,Did not work during the strike,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,18,4.23,3.98
08/04/2023 23:26:48,Yes,,400 Level,22,Male,Single,Engineering,Chemical Engineering,,"The strike made me lethargic about academics for a while. But eventually, I was able to find the motivation to not let that linger or affect my performance negatively.",Trying to cover many topics across 10 courses and completing my lab reports in short time.,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,,4.78,4.8
09/04/2023 08:11:31,Yes,,400 Level,22,Female,Single,Education,Arts & Social Science Education,,I just want to end all this..🥲,Having to return back to reading books and attending lectures ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,16,3.69,2.34
09/04/2023 12:35:41,Yes,,200 Level,24,Male,Single,Environmental Sciences,Quantity Surveying,,My academic performance has remained intact,Returning back to my study routine took a lot of dedication and mental resolve,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,11,,0,5
09/04/2023 12:48:10,Yes,,400 Level,24,Male,Dating,Sciences,Statistics,,Badly,Financial aid ,Worked in a role relevant to my studies,None of the above,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,8,3.59,3.59
10/04/2023 14:52:10,Yes,,200 Level,21,Male,Single,Sciences,Statistics,,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,,3,3.5
10/04/2023 14:52:24,Yes,,100 Level,17,Male,Single,Engineering,Computer Engineering,,Positively and Negatively respectively,Reading and Solving Math,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Vocational training and artisanship",Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,,0,4.46
10/04/2023 14:59:45,Yes,,400 Level,25,Male,Dating,Engineering,Electrical & Electronics Engineering,,Yes,Having to start reading again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,12,21,3.45,3.5
10/04/2023 15:04:26,Yes,,500 Level,25,Male,Single,Engineering,Mechanical Engineering,,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Very,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,,4.52,4.55
10/04/2023 15:04:38,Yes,,500 Level,24,Female,Single,Engineering,Civil & Environmental Engineering,,It has made me tired of everything.,Figuring out how to study again. ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,21,3.58,3.74
10/04/2023 15:09:35,Yes,,200 Level,26,Male,Married,Sciences,Biochemistry,,"Due to the recurring strikes and the seeming unconcerned attitude of the authorities in charge, and due to the fact that my age is running I decided to get married (though not officially/legally yet sha) I got her pregnant but not by mistake, and now I'm a father. If there wasn't strike or if it has not lingered this wouldn't have happen.
Appropriating academics with family now is not an easy thing, but then God is in charge of a my life affairs...","Based in the above explanation and due to the fact that I sponsor my schooling myself, coming back to school almost seen impossible as the interest in it was no more there (cos no one knows if the strike will come again soon...) And again one major issue was/is money, and then normally the interest for academics was not that strong anymore as per we've stayed for too long at home ",Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,18,0,3.69
10/04/2023 15:16:18,Yes,,200 Level,22,Female,Dating,Sciences,Biochemistry,,,,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,,0,3.5
10/04/2023 15:17:23,Yes,,200 Level,20,Male,Single,Basic Medical Sciences,Biochemistry,,Negatively,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,20,2.98,3.07
10/04/2023 15:27:40,Yes,,400 Level,21,Male,Single,Engineering,Mechanical Engineering,,Yes,Finding where to start from,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.26,3.17
10/04/2023 15:51:00,Yes,,200 Level,22,Male,Single,Sciences,Biochemistry,,Unaffected ,Time management,Worked in a role unrelated to my studies,None of the above,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,18,3.6,3.5
10/04/2023 15:51:29,Yes,,500 Level,23,Male,Single,Engineering,Metallurgical & Materials Engineering,,"I've lost interest in school activities. From studying, down to extra curricular activities. Focusing more on building a business and being an entrepreneur.",Trying to study.,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,21,4.2,4.17
10/04/2023 15:51:43,Yes,,200 Level,22,Male,Single,Education,Adult Education,,I don't have the motivation to study anymore,I think it's probably the uncertainty of whether we are still going to have another strike or not,Did not work during the strike,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.65,3.5
10/04/2023 15:57:56,Yes,,500 Level,25,Male,Single,Engineering,Petroleum & Gas Engineering,,My performance has reduced,Juggling work and school,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,12,22,2.95,0
10/04/2023 15:59:51,Yes,,100 Level,25,Male,Single,Management Science,Actuarial Science & Insurance,,Made it worse,,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,,0,4.07
10/04/2023 16:03:36,Yes,,400 Level,22,Female,Single,Arts,European Languages & Integration Studies,,"Due to the fact that I’m studying French , the long gap makes me forget the language and it’s really difficult ",It was hard to comprehend the French language ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",12,24,3.32,3.56
10/04/2023 16:05:22,Yes,,100 Level,20,Male,Single,Management Science,Actuarial Science & Insurance,,It has affected me quite a lot.,Continuing from where we stopped after the strike.,Worked in a role relevant to my studies,Vocational training and artisanship,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,19,0,3.87
10/04/2023 16:10:13,Yes,,100 Level,19,Female,Single,Management Science,Actuarial Science & Insurance,,Delay in academic journey,Procrastination,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0,3.67
10/04/2023 16:17:09,Yes,,500 Level,23,Female,Single,Engineering,Mechanical Engineering,,No… ,Reading again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,17,4.87,4.86
10/04/2023 16:30:57,Yes,,200 Level,21,Female,Single,Management Science,Actuarial Science & Insurance,,Poorly ,How to be back on track with my cgpa,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,22,3.6,3
10/04/2023 16:33:27,Yes,,100 Level,20,Female,Single,Management Science,Actuarial Science & Insurance,,It has really worsened my academic performance ,I was so used to working already ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Vocational training and artisanship",Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0,4.47
10/04/2023 17:06:45,Yes,,300 Level,23,Male,Single,Basic Medical Sciences,Physiology,,The Asuu strike  has made me loose interest in school ,Trying to adjust back to being a student ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,,2.8,2.7
10/04/2023 17:12:14,Yes,,400 Level,22,Male,Single,Environmental Sciences,Architecture,,Very well,Using a pen,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,,3.67,4.03
10/04/2023 17:17:16,Yes,,200 Level,22,Female,Single,Clinical Sciences,Nursing,, I read less,the amount of things that piled up to read,Did not work during the strike,None of the above,Moderately,Poorly,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,20,3.69,3.69
10/04/2023 17:21:15,Yes,,400 Level,21,Female,Dating,Law,Law,,It become worst,One has adjust to the reading system ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,9,2.56,2.5
10/04/2023 17:46:03,Yes,,500 Level,24,Male,Single,Engineering,Civil & Environmental Engineering,,"Made it a bit better actually because there was more time to read and prepare for exams, made me lose a whole lot of motivation towards my course tho",Adjusting to school life once again,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,21,2.1,2.1
10/04/2023 18:07:04,Yes,,400 Level,22,Male,Single,Clinical Sciences,Medicine,,Not at all,getting to learn to read for long hours,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",1,0,0,0
10/04/2023 20:55:35,Yes,,300 Level,24,Male,Single,Social Sciences,Political Science,,Yes,Finding it hard to read or studying ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,18,3.77,3.68
10/04/2023 21:39:16,Yes,,200 Level,19,Female,Single,Sciences,Biochemistry,,It disrupt it,Catching up,Worked in a role unrelated to my studies,None of the above,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,0,0,3.8
10/04/2023 23:10:30,Yes,,500 Level,22,Male,Complicated,Engineering,Civil & Environmental Engineering,,"Decreased an already unalluring morale for academic, and didn't give me a chance to decide on what, and when, to do; as there's no saying when the strike would really end. Devastating really.","Brain works with habit, and having stayed out of the usual routine for schooling for a long while, it was really difficult getting back on track; even on how to write with biro and pencil.

I mean, even nerds need knowledge to keep them sane, talk more an ordinary student who's already uninterested and have the thoughts for money alone. ",Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,19,3.85,3.7
