school,level,age,gender,relationship,faculty,department,strike_effect,challenge,work,skills,prep_before,prep_after,lecture,academic_act,courses_taken,course_unit,cgpa_before,cgpa_after,cgpa_change
university of lagos,100 Level,18,Male,Single,Clinical Sciences,Medicine,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,I did not attend any lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,6,17,0.0,5.0,5.0
university of lagos,300 Level,21,Female,Single,Education,Science tech. education,It has reduced my level of school performance and assimilation.,"Learning how to hold biro and write again, reading ",Did not work during the strike,Volunteered for an event or organization,Moderately,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,7,21,4.0,4.11,0.11000000000000032
university of lagos,400 Level,21,Male,Single,Social Sciences,Mass communication,,,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,,3.59,3.59,0.0
university of lagos,300 Level,24,Male,Complicated,Education,Educational foundations,Personally it made me tired of schooling but that didn't reflect in my performance ,Finance and mental state. I mean getting my head into the whole academic thing again ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,20,4.72,4.81,0.08999999999999986
university of lagos,300 Level,23,Female,Single,Sciences,Botany,"It helped actually, gave me enough time to read I must confess.","Maybe just adjusting back to school, classes.",Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",6,18,2.69,3.7,1.0100000000000002
university of lagos,400 Level,23,Male,Single,Sciences,Chemistry,Not bad,Reading ,Did not work during the strike,"Acquired skills unrelated to course of study, Vocational training and artisanship",Very,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,16,4.0,0.0,-4.0
university of lagos,100 Level,17,Male,Single,Environmental Sciences,Architecture,It is unnecessarily increasing the amount of years I have to study in school ,Having to study again after forgetting everything taught ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,,0.0,5.0,5.0
university of lagos,400 Level,21,Male,Single,Law,Law,well I had time to read during the break when I didn't have a job to attend to so I was kind ok,"how fast it was because we were behind, we were rushed ",Worked in a role relevant to my studies,Acquired skills relevant to course of study,Poorly,Moderately,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",6,24,3.5,3.3,-0.20000000000000018
university of lagos,300 Level,21,Male,Single,Sciences,Mathematics,I got more involved in my studies and had more motivation ,Funds,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",7,17,2.55,2.88,0.33000000000000007
university of lagos,300 Level,24,Female,Dating,Sciences,Zoology,The strike made me almost give up on my career dreams but I was able to get myself together. My academic performance improved after the strike,Learning all over again ,Worked in a role unrelated to my studies,None of the above,Very,Very,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,6,16,4.56,4.63,0.07000000000000028
university of lagos,200 Level,22,Female,Single,Education,Early childhood education ,It didn’t affect it at all,Having to leave my job,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,12,24,0.0,4.0,4.0
university of lagos,200 Level,21,Male,Single,Sciences,Mathematics,Not very well ,Having to start reading from not reading for a long time ,Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,23,4.7,4.5,-0.20000000000000018
university of lagos,200 Level,20,Female,Single,Sciences,Cell biology & genetics,Yes ,Trying to get into the syllabus,Worked in a role unrelated to my studies,Volunteered for an event or organization,Moderately,Poorly,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,23,0.0,2.9,2.9
university of lagos,200 Level,18,Female,Single,Sciences,Cell biology & genetics,It made me feel too relaxed for one. I had to work at some point so I had no time for reading and it has made me spend 2 yrs in 200 lvl alone and even now nothing is certain about when we're ending ,"Reading, compréhension and understanding of what I had been taught. Prep for exam while still having class an other minor circular things that life as a student entails",Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,17,0.0,3.59,3.59
university of lagos,300 Level,29,Female,Married,Education,Science tech. education,If affected me in a way that i will not be able to go for service,Leaving my 6 months old baby all alone,Worked in a role relevant to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,7,18,3.24,3.38,0.13999999999999968
university of lagos,300 Level,25,Female,Single,Sciences,Cell biology & genetics,Yes,Having to go back to remembering everything I’ve learnt was tough,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,22,2.9,3.3,0.3999999999999999
university of lagos,300 Level,26,Female,Single,Education,Biology education,I lost interest in academics ,Reading and recall ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,8,18,3.5,3.8,0.2999999999999998
university of lagos,300 Level,22,Female,Single,Sciences,Cell biology & genetics,Did not affect,Leaving behind what I learned ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,16,4.01,4.1,0.08999999999999986
university of lagos,400 Level,21,Female,Single,Sciences,Botany,"It made me relax on my studies and when the strike was over, it was difficult to come back to read ",Getting ready for exam immediately we resume ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Very,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",5,12,4.0,4.12,0.1200000000000001
university of lagos,200 Level,21,Female,Single,Sciences,Botany,It has only further delayed my graduation,Accommodating myself to school life again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,7,19,3.29,3.0,-0.29000000000000004
university of lagos,400 Level,28,Male,Single,Engineering,Chemical engineering,"A a person in late 20s, I tend to engage more in businesses which in turn make learning more difficult as the major future responsibilities are staring in my eye. Also the thought that it is almost impossible to go for nysc due to 2yrs asuu strike in the last 5 years is heartbreaking. Will be very happy if the authorities can write to nysc to consider those that are not more than 32 so that not only the lecturers benefit from the strikes ",Nothing much. Just that constant breaks makes some people lose focus and that's true for those above 25 as they are more concerned abt what the future holds for them ,Worked in a role unrelated to my studies,None of the above,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,10,23,3.54,3.04,-0.5
university of lagos,200 Level,21,Male,Single,Education,Educational foundations,Negatively ,Exams ,Did not work during the strike,None of the above,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,9,20,3.67,2.55,-1.12
university of lagos,300 Level,20,Male,Single,Engineering,Chemical engineering,,,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,,4.47,4.44,-0.02999999999999936
university of lagos,300 Level,21,Female,Single,Law,Law,I've lost total interest and certain school policies is only aiding my lack of interest in studying.,"Forcing myself mentally, emotionally and physically to go back to an environment I haven't been in almost a year despite the harsh conditions. ",Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Very,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,5,,0.0,0.0,0.0
university of lagos,100 Level,18,Female,Complicated,Sciences,Botany,It really affected my enthusiasm to study ,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,21,0.0,4.0,4.0
university of lagos,200 Level,28,Male,Single,Education,Arts & social science education,I see work do ,To get the curriculum back together again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,,1.98,2.11,0.1299999999999999
university of lagos,300 Level,23,Female,Dating,Education,Biology education,It really affected me to the point that my GPA dropped ,"The part of reading all over again, and it looks like I haven't even gone through the slides before the strike.",Worked in a role unrelated to my studies,None of the above,Very,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,7,,2.45,2.51,0.05999999999999961
university of lagos,Postgraduate Diploma,26,Female,Dating,Education,Human kinetics & health education,It affected it negatively,"Having to cope with hostel life, learning to wake up early for classes. ",Did not work during the strike,None of the above,Very,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,18,4.45,4.37,-0.08000000000000007
"alex ekwueme federal university ndufu-alike ikwo, abakaliki ebonyi state",300 Level,23,Female,Single,Basic Medical Sciences,Physiology,"It made me slack,I don't know what I'm doing in school again.",Studying school books ,Did not work during the strike,Volunteered for an event or organization,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,21,2.95,0.0,-2.95
university of lagos,100 Level,21,Female,Single,Education,Education eng,It brings about a kind of regression in me both physically and academically,It was strange to my body system,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Improved lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",11,4,0.0,3.44,3.44
university of lagos,300 Level,21,Female,Single,Engineering,Chemical engineering,The strike made we lose interest in wanting to learn and gain more knowledge about my coure,"The most challenging part was the fact that not long after the strike ended we started exams and test, and I was very prepared. I had to do some overnight to pass",Did not work during the strike,Vocational training and artisanship,Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.46,3.6,0.14000000000000012
university of ibadan,Masters Program,26,Female,Single,Sciences,Microbiology,"Not really, it was just more difficult than earlier ",Going back to lecture room was quite difficult and harder ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Very,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,3,0.0,4.01,4.01
university of lagos,300 Level,24,Female,Dating,Education,Biology education,Negatively ,Trying to adjust myself again with school activities like studying and all.,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Very,Improved lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,8,1,4.1,4.28,0.1800000000000006
university of lagos,300 Level,27,Female,Single,Education,Adult education,Release in studying ,Preparing to resume back to school ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",11,22,4.0,4.12,0.1200000000000001
university of lagos,300 Level,21,Female,Single,Engineering,Systems engineering,I have even less zeal for school.,Balancing school work with my jobs.,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,20,4.19,4.22,0.02999999999999936
university of lagos,100 Level,18,Female,Single,Engineering,Electrical & electronics engineering,"My academics hasn't even had chance to perform
Since 2020 I still don't have GPA on the portal ","The pain that my mates have written a similar exam years ago
And read all this year's ago",Did not work during the strike,"Acquired skills unrelated to course of study, Vocational training and artisanship",Poorly,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,14,0.0,4.7,4.7
university of lagos,400 Level,24,Female,Single,Education,Business education ,Terribly ,Trying to get my mind back to school setting ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,6,20,3.6,3.8,0.19999999999999973
university of lagos,300 Level,21,Female,Single,Engineering,Civil & environmental engineering,I have lost interest in my academic journey. ,Trying to understand topics I had been taught before the strike in a short period of time. ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,21,4.64,4.13,-0.5099999999999998
university of lagos,300 Level,21,Male,Single,Engineering,Systems engineering,,,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",10,,4.45,4.4,-0.04999999999999982
lagos state university,300 Level,22,Male,Single,Arts,Philosophy,"No strike for Lasu, so basically work as usual",Peeps from other schools were running faster and entered 300l before me that wasn't on strike,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,23,2.45,3.1,0.6499999999999999
university of lagos,100 Level,20,Male,Single,Engineering,Electrical & electronics engineering,Wasted a lot of my time,Doing a crash course to pass exams and barely surviving,Did not work during the strike,Acquired skills relevant to course of study,Poorly,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,6,,2.9,2.9,0.0
funaab,400 Level,21,Male,Single,Sciences,Statistics,Too bad,To start reading again is an issue on its own,Worked in a role relevant to my studies,Acquired skills relevant to course of study,Moderately,Poorly,Fewer lecturers attended classes,Very often: I engaged in academic activities almost as often as I would during a normal semester.,9,0,2.9,3.8,0.8999999999999999
university of lagos,300 Level,22,Female,Single,Education,Educational foundations,Result aspect ,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,3,,3.0,2.0,-1.0
university of lagos,200 Level,23,Female,Single,Education,Arts & social science education,Very bad,Reading ,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Never: I did not engage in any academic activities during the strike.,10,10,3.63,3.5,-0.1299999999999999
university of lagos,300 Level,23,Male,Single,Basic Medical Sciences,Pharmaceutics & pharmaceutical technology,"Yes, made it better! Enough time to get prepared",Writing physical exams again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Very,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",11,17,4.57,4.47,-0.10000000000000053
university of uyo,400 Level,20,Male,Complicated,Engineering,Electrical & electronics engineering,Not o badly ,Getting into tech then balancing it with school life ,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,12,22,4.51,4.37,-0.13999999999999968
university of lagos,400 Level,21,Female,Single,Engineering,Chemical engineering,It made me almost give up on school ,Everything ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,11,,3.37,5.0,1.63
university of lagos,300 Level,21,Male,Single,Sciences,Mathematics,It hampered my learning greatly ,I learnt things slower ,Worked in a role unrelated to my studies,Acquired skills relevant to course of study,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,19,2.5,2.1,-0.3999999999999999
university of lagos,200 Level,19,Female,Single,Sciences,Geosciences,Badly,Learning how to read again,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,20,4.2,3.6,-0.6000000000000001
university of abuja,400 Level,23,Female,Single,Arts,English,"The ASSU strike affected me badly. I felt like precious time was flying away, and I couldn’t really concentrate on other aspects of my life because I knew one major aspect( my degree) was on hold. My result dropped drastically because the VC of my school rushed us into exams without proper preparation and also rushed lecturers in marking scripts that we weren’t even taught. 
There is a clear difference between my 200 level result( pre-pandemic) and my 400 level result(post pandemic and strike) ","Adjusting to reading academic materials. 
In my mind, I had already graduated from school, so it was really hard to sit down to read when I know I should have graduated from school in 2022",Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Moderately,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,10,30,3.0,2.0,-1.0
university of lagos,200 Level,19,Female,Single,Sciences,Cell biology & genetics,Slightly negatively ,Reading school books and focusing in class ,Did not work during the strike,None of the above,Moderately,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,7,19,4.2,4.23,0.03000000000000025
university of lagos,200 Level,19,Female,Single,Engineering,Systems engineering,,,Did not work during the strike,Vocational training and artisanship,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,28,4.0,3.14,-0.8599999999999999
university of lagos,400 Level,22,Female,Single,Education,Arts & social science education,I just want to end all this..🥲,Having to return back to reading books and attending lectures ,Worked in a role unrelated to my studies,"Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,16,3.69,2.34,-1.35
university of lagos,300 Level,22,Female,Single,Sciences,Mathematics,"Before the last strike, I already started preparing for exams and I had covered almost all of my course outline, asides minority courses like gst, after I came back literally almost every knowledge was gone. So basically, the strike reduced my zeal to be get better grades. ",Going back to reading my books and attending classes after a long time of staying at home,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Very,Poorly,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,23,3.26,3.19,-0.06999999999999984
university of lagos,200 Level,20,Female,Single,Engineering,Systems engineering,I keep losing the desire to remain in school. It's tiring having to constantly work to get back that studying momentum. The student in me is always at 0% during the strike.,Having to cover the syllabus in a limited time.,Did not work during the strike,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,9,18,4.23,3.98,-0.25000000000000044
university of lagos,400 Level,22,Male,Single,Engineering,Chemical engineering,"The strike made me lethargic about academics for a while. But eventually, I was able to find the motivation to not let that linger or affect my performance negatively.",Trying to cover many topics across 10 courses and completing my lab reports in short time.,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,,4.78,4.8,0.019999999999999574
university of lagos,200 Level,24,Male,Single,Environmental Sciences,Quantity surveying,My academic performance has remained intact,Returning back to my study routine took a lot of dedication and mental resolve,Worked in a role unrelated to my studies,"Acquired skills relevant to course of study, Acquired skills unrelated to course of study",Moderately,Very,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,11,,0.0,5.0,5.0
university of lagos,400 Level,24,Male,Dating,Sciences,Statistics,Badly,Financial aid ,Worked in a role relevant to my studies,None of the above,Moderately,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,5,8,3.59,3.59,0.0
university of lagos,200 Level,21,Male,Single,Sciences,Statistics,,,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,6,,3.0,3.5,0.5
university of lagos,100 Level,17,Male,Single,Engineering,Computer engineering,Positively and Negatively respectively,Reading and Solving Math,Worked in a role relevant to my studies,"Acquired skills relevant to course of study, Vocational training and artisanship",Very,Poorly,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,8,,0.0,4.46,4.46
university of lagos,400 Level,25,Male,Dating,Engineering,Electrical & electronics engineering,Yes,Having to start reading again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study, Acquired skills unrelated to course of study, Vocational training and artisanship",Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,12,21,3.45,3.5,0.04999999999999982
university of lagos,500 Level,25,Male,Single,Engineering,Mechanical engineering,,,Worked in a role relevant to my studies,"Volunteered for an event or organization, Acquired skills relevant to course of study",Very,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,,4.52,4.55,0.03000000000000025
university of lagos,500 Level,24,Female,Single,Engineering,Civil & environmental engineering,It has made me tired of everything.,Figuring out how to study again. ,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",10,21,3.58,3.74,0.16000000000000014
university of lagos,200 Level,26,Male,Married,Sciences,Biochemistry,"Due to the recurring strikes and the seeming unconcerned attitude of the authorities in charge, and due to the fact that my age is running I decided to get married (though not officially/legally yet sha) I got her pregnant but not by mistake, and now I'm a father. If there wasn't strike or if it has not lingered this wouldn't have happen.
Appropriating academics with family now is not an easy thing, but then God is in charge of a my life affairs...","Based in the above explanation and due to the fact that I sponsor my schooling myself, coming back to school almost seen impossible as the interest in it was no more there (cos no one knows if the strike will come again soon...) And again one major issue was/is money, and then normally the interest for academics was not that strong anymore as per we've stayed for too long at home ",Did not work during the strike,None of the above,Moderately,Moderately,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,18,0.0,3.69,3.69
university of lagos,200 Level,22,Female,Dating,Sciences,Biochemistry,,,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,No noticeable change,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,,0.0,3.5,3.5
university of lagos,200 Level,20,Male,Single,Sciences,Biochemistry,Negatively,Studying ,Worked in a role unrelated to my studies,Vocational training and artisanship,Very,Moderately,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",9,20,2.98,3.07,0.08999999999999986
university of lagos,400 Level,21,Male,Single,Engineering,Mechanical engineering,Yes,Finding where to start from,Did not work during the strike,Acquired skills unrelated to course of study,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.26,3.17,-0.08999999999999986
university of lagos,200 Level,22,Male,Single,Sciences,Biochemistry,Unaffected ,Time management,Worked in a role unrelated to my studies,None of the above,Poorly,Poorly,No noticeable change,Never: I did not engage in any academic activities during the strike.,8,18,3.6,3.5,-0.10000000000000009
university of lagos,500 Level,23,Male,Single,Engineering,Metallurgical & materials engineering,"I've lost interest in school activities. From studying, down to extra curricular activities. Focusing more on building a business and being an entrepreneur.",Trying to study.,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Never: I did not engage in any academic activities during the strike.,7,21,4.2,4.17,-0.03000000000000025
university of lagos,200 Level,22,Male,Single,Education,Adult education,I don't have the motivation to study anymore,I think it's probably the uncertainty of whether we are still going to have another strike or not,Did not work during the strike,Acquired skills unrelated to course of study,Very,Moderately,Worse lectures after the strike,Rarely: I engaged in academic activities once or twice during the strike.,9,,3.65,3.5,-0.1499999999999999
university of lagos,500 Level,25,Male,Single,Engineering,Petroleum & gas engineering,My performance has reduced,Juggling work and school,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Poorly,I did not attend any lectures after the strike,Never: I did not engage in any academic activities during the strike.,12,22,2.95,0.0,-2.95
university of lagos,100 Level,25,Male,Single,Management Science,Actuarial science & insurance,Made it worse,,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Poorly,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,,0.0,4.07,4.07
university of lagos,400 Level,22,Female,Single,Arts,European languages & integration studies,"Due to the fact that I’m studying French , the long gap makes me forget the language and it’s really difficult ",It was hard to comprehend the French language ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Moderately,Fewer lecturers attended classes,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",12,24,3.32,3.56,0.2400000000000002
university of lagos,100 Level,20,Male,Single,Management Science,Actuarial science & insurance,It has affected me quite a lot.,Continuing from where we stopped after the strike.,Worked in a role relevant to my studies,Vocational training and artisanship,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,19,0.0,3.87,3.87
university of lagos,100 Level,19,Female,Single,Management Science,Actuarial science & insurance,Delay in academic journey,Procrastination,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0.0,3.67,3.67
university of lagos,500 Level,23,Female,Single,Engineering,Mechanical engineering,No… ,Reading again,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Moderately,Poorly,Worse lectures after the strike,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",7,17,4.87,4.86,-0.009999999999999787
university of lagos,200 Level,21,Female,Single,Management Science,Actuarial science & insurance,Poorly ,How to be back on track with my cgpa,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Very,Worse lectures after the strike,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",8,22,3.6,3.0,-0.6000000000000001
university of lagos,100 Level,20,Female,Single,Management Science,Actuarial science & insurance,It has really worsened my academic performance ,I was so used to working already ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Vocational training and artisanship",Poorly,Moderately,No noticeable change,Rarely: I engaged in academic activities once or twice during the strike.,9,19,0.0,4.47,4.47
university of lagos,300 Level,23,Male,Single,Basic Medical Sciences,Physiology,The Asuu strike  has made me loose interest in school ,Trying to adjust back to being a student ,Did not work during the strike,Acquired skills unrelated to course of study,Poorly,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,,2.8,2.7,-0.09999999999999964
university of lagos,400 Level,22,Male,Single,Environmental Sciences,Architecture,Very well,Using a pen,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Very,No noticeable change,Never: I did not engage in any academic activities during the strike.,10,,3.67,4.03,0.3600000000000003
university of lagos,200 Level,22,Female,Single,Clinical Sciences,Nursing, I read less,the amount of things that piled up to read,Did not work during the strike,None of the above,Moderately,Poorly,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",8,20,3.69,3.69,0.0
university of lagos,400 Level,21,Female,Dating,Law,Law,It become worst,One has adjust to the reading system ,Worked in a role unrelated to my studies,Vocational training and artisanship,Moderately,Moderately,Fewer lecturers attended classes,"Sometimes: I engaged in academic activities occasionally, but not on a regular basis during the strike.",6,9,2.56,2.5,-0.06000000000000005
university of lagos,500 Level,24,Male,Single,Engineering,Civil & environmental engineering,"Made it a bit better actually because there was more time to read and prepare for exams, made me lose a whole lot of motivation towards my course tho",Adjusting to school life once again,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Poorly,Moderately,Fewer lecturers attended classes,Rarely: I engaged in academic activities once or twice during the strike.,8,21,2.1,2.1,0.0
university of lagos,400 Level,22,Male,Single,Clinical Sciences,Medicine,Not at all,getting to learn to read for long hours,Worked in a role unrelated to my studies,Acquired skills unrelated to course of study,Moderately,Moderately,No noticeable change,"Often: I engaged in academic activities regularly, but not as often as I would during a normal semester.",1,0,0.0,0.0,0.0
university of lagos,300 Level,24,Male,Single,Social Sciences,Political science,Yes,Finding it hard to read or studying ,Worked in a role unrelated to my studies,"Volunteered for an event or organization, Acquired skills unrelated to course of study",Very,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,8,18,3.77,3.68,-0.08999999999999986
university of lagos,200 Level,19,Female,Single,Sciences,Biochemistry,It disrupt it,Catching up,Worked in a role unrelated to my studies,None of the above,Moderately,Poorly,Worse lectures after the strike,Never: I did not engage in any academic activities during the strike.,9,0,0.0,3.8,3.8
